TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"포시즌스호텔","202603","유튜브","2.00000","2.00000",,"1.00000","4.60000","7236.00000","5성급 호텔","37.5706978","126.9755073","서울특별시 종로구 당주동 새문안로 97","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"부산아시아드주경기장","202603","인스타그램","1.00000","1.00000",,"1.00000","4.20000","880.00000","경기장","35.1899786","129.0582686","부산광역시 연제구 월드컵대로 344","부산광역시","연제구","2832193.00000","2764080.00000","2.50000","35475479.00000","35153942.00000","321537.00000"
"낙산공원","202603","인스타그램","5.00000","3.00000",,"1.00000","4.60000","6012.00000","공원","37.5806571","127.0074835","서울특별시 종로구 낙산길 41 낙산공원","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"흰여울문화마을","202603","인스타그램","11.00000",,"10.00000","-1.00000","4.40000","8634.00000","관광 명소","35.0782798","129.0453198","부산광역시 영도구 영선동4가 1043 흰여울문화마을","부산광역시","영도구","1683815.00000","1579728.00000","6.60000","9117932.00000","8062550.00000","1055382.00000"
"남한산성","202603","인스타그램","3.00000","1.00000","2.00000","-0.50000","4.40000","1806.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4276958.00000","4129514.00000","3.60000","68294148.00000","67941906.00000","352242.00000"
"종묘","202603","인스타그램","2.00000","2.00000",,"1.00000","4.50000","1251.00000","역사적 장소","37.5746","126.9938","서울특별시 종로구 종로 157 종묘관리소","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"창덕궁","202603","인스타그램","0.00000",,,,"4.60000","13615.00000","문화적 랜드마크","37.5794309","126.9910426","서울특별시 종로구 율곡로 99","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"압구정동","202603","인스타그램","5.00000","1.00000","1.00000",,"4.30000","280.00000","관광 명소","37.5271478","127.0334517","서울특별시 강남구 신사동 언주로 861","서울특별시","강남구","20391298.00000","19186622.00000","6.30000","761281418.00000","516273492.00000","245007926.00000"
"부산 국제시장","202603","인스타그램","21.00000","16.00000","1.00000","15.00000","4.10000","12861.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6622592.00000","6375526.00000","3.90000","114819077.00000","88509410.00000","26309667.00000"
"해운대해수욕장","202603","인스타그램","17.00000","3.00000","5.00000","-0.40000","4.60000","2666.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","5866066.00000","5662184.00000","3.60000","213290962.00000","189829089.00000","23461873.00000"
"광화문","202603","인스타그램","132.00000","62.00000","69.00000","-0.10000","4.50000","13963.00000","역사적 명소","37.572389","126.9769117","서울특별시 종로구 세종대로 172","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
